iter	Passed	Remaining
0	0	996
1	1	780
2	2	725
3	2	706
4	3	676
5	3	656
6	4	647
7	5	636
8	5	628
9	6	634
10	7	650
11	7	645
12	8	650
13	9	644
14	9	641
15	10	640
16	11	638
17	11	632
18	12	627
19	12	625
20	13	623
21	13	618
22	14	614
23	15	611
24	15	607
25	16	604
26	16	602
27	17	600
28	17	597
29	18	594
30	19	594
31	19	593
32	20	596
33	20	596
34	21	593
35	22	592
36	22	595
37	23	596
38	24	595
39	24	594
40	25	594
41	26	594
42	26	591
43	27	590
44	27	590
45	28	591
46	29	590
47	30	599
48	30	598
49	31	596
50	32	598
51	32	598
52	33	598
53	34	605
54	35	605
55	35	604
56	36	602
57	36	600
58	37	598
59	38	598
60	38	598
61	39	596
62	39	594
63	40	593
64	41	590
65	41	588
66	42	587
67	42	586
68	43	585
69	43	583
70	44	582
71	45	580
72	45	578
73	46	577
74	46	576
75	47	576
76	48	575
77	48	574
78	49	573
79	49	572
80	50	571
81	50	570
82	51	565
83	51	564
84	52	564
85	52	563
86	53	561
87	54	560
88	54	559
89	55	557
90	55	557
91	56	556
92	56	555
93	57	554
94	58	552
95	58	551
96	59	550
97	59	549
98	60	548
99	60	548
100	61	547
101	62	548
102	62	547
103	63	546
104	63	545
105	64	544
106	65	542
107	65	541
108	66	539
109	66	538
110	67	536
111	67	535
112	68	535
113	68	534
114	69	533
115	69	531
116	70	529
117	70	528
118	71	527
119	71	527
120	72	526
121	72	524
122	73	523
123	73	522
124	74	521
125	75	521
126	75	519
127	76	518
128	76	517
129	77	515
130	77	514
131	78	513
132	78	511
133	79	510
134	79	509
135	80	508
136	80	507
137	81	507
138	81	505
139	82	504
140	82	503
141	83	501
142	83	501
143	84	501
144	84	500
145	85	499
146	85	498
147	86	499
148	87	499
149	88	499
150	88	498
151	89	497
152	89	496
153	90	495
154	90	494
155	91	493
156	91	492
157	92	491
158	92	491
159	93	490
160	93	489
161	94	488
162	94	487
163	95	486
164	95	485
165	96	484
166	96	483
167	97	482
168	97	481
169	98	483
170	100	486
171	100	486
172	101	485
173	102	484
174	102	483
175	102	482
176	103	481
177	103	480
178	104	479
179	105	479
180	105	478
181	106	477
182	106	476
183	107	475
184	107	474
185	108	473
186	108	473
187	109	472
188	109	471
189	110	470
190	110	469
191	111	469
192	112	469
193	112	468
194	113	468
195	114	467
196	114	467
197	115	466
198	115	465
199	116	464
200	116	463
201	117	462
202	117	461
203	118	460
204	118	460
205	119	459
206	119	458
207	120	458
208	120	457
209	121	456
210	121	455
211	122	454
212	122	453
213	123	452
214	123	452
215	124	451
216	124	450
217	125	449
218	125	448
219	127	450
220	127	449
221	128	448
222	128	448
223	129	447
224	129	446
225	130	445
226	130	444
227	131	444
228	131	443
229	132	442
230	132	441
231	133	440
232	133	440
233	134	439
234	134	438
235	135	437
236	135	436
237	136	436
238	136	435
239	137	434
240	137	433
241	138	433
242	138	432
243	139	432
244	140	431
245	140	431
246	141	430
247	141	429
248	142	428
249	142	428
250	143	427
251	143	427
252	144	426
253	145	425
254	145	425
255	146	424
256	146	423
257	147	422
258	147	422
259	148	421
260	148	421
261	149	420
262	149	420
263	150	419
264	150	418
265	151	417
266	152	418
267	152	417
268	153	416
269	153	416
270	154	416
271	155	415
272	155	414
273	156	414
274	156	413
275	157	412
276	157	412
277	158	411
278	158	410
279	159	410
280	160	409
281	160	409
282	161	408
283	161	407
284	162	407
285	162	406
286	163	405
287	163	405
288	164	404
289	165	404
290	165	403
291	166	403
292	167	403
293	167	403
294	168	402
295	168	401
296	169	401
297	169	400
298	170	399
299	170	398
300	171	398
301	172	397
302	172	396
303	173	396
304	174	396
